Club,Last Name,First Name,Position,2015 Base Salary,2015 Guaranteed Compensation
CHI,Accam,David,F,650000,720937
CHI,Bryce,Kingsley,M,50000,50000
CHI,Busch,Jon,GK,85000,90000
CHI,Cochrane,Greg,D,60000,60000
CHI,Cocis,Razvan,M,220000,226666
CHI,Doody,Patrick,D,50000,50000
CHI,Fernandez,Collin,M,65000,67000
CHI,Filho,Adailton,D,200000,244500
CHI,Gehrig,Eric,M,95000,100833
CHI,Harden,Ty,D,71663,75078
CHI,Igboananike,Kennedy,F,800000,901666
CHI,Johnson,Jason,F,90000,131000
CHI,Johnson,Sean,GK,250000,253000
CHI,Jones,Joevin,M,60000,66166
CHI,Kann,Alec,GK,60000,60000
CHI,Larentowicz,Jeff,D,265000,271000
CHI,Magee,Mike,F,400000,467500
CHI,Maloney,Shaun,M,1550000,1586000
CHI,Nyarko,Patrick,F,200000,215750
CHI,Palmer,Lovel,M,118000,125500
CHI,Polster,Matt,D,60000,75000
CHI,Prado,Guly,F,120000,135000
CHI,Ritter,Chris,M,60000,60000
CHI,Shipp,Harrison,F,87500,112500
CHI,Stephens,Michael,M,95000,105000
CHI,Watson,Matt,M,80620,91689
CLB,Barson,Chad,D,60000,60000
CLB,Bedell,Adam,F,60000,60000
CLB,Campbell,Sergio,D/M,50000,52500
CLB,Clark,Steve,GK,170000,188333
CLB,Finlay,Ethan,F,135000,142500
CLB,Francis,Waylon,D,144000,170166
CLB,Gall,Romain,M,60000,63420
CLB,George,Kevan,M,60000,60000
CLB,Higuain,Federico,M-F,1175000,1175000
CLB,Jimenez,Hector,M,90000,90000
CLB,Kamara,Kei,F,400000,536666
CLB,Klute,Chris,D,82500,87802
CLB,Lampson,Matt,GK,60000,60000
CLB,Lev-Ari,Sagi,F,60000,60000
CLB,Mabwati,Cedrick,M,234999,253749
CLB,Meram,Justin,F,165000,175000
CLB,Parkhurst,Michael,D,275000,300000
CLB,Pogatetz,Emanuel,D,250000,262500
CLB,Ryden,Kalen,D,50000,50000
CLB,Saeid,Mohammed,M,100000,110000
CLB,Schoenfeld,Aaron,F,60000,60000
CLB,Speas,Ben,F,68355,68355
CLB,Steindorsson,Kristin,M,105000,119437
CLB,Stuver,Brad,GK,60000,60000
CLB,Swanson,Ben,M,60000,80416
CLB,Tchani,Tony,M,170000,195000
CLB,Trapp,Wil,M,137500,164500
CLB,Wahl,Tyson,D,95000,99666
CLB,Zeca,Jose,M,120000,120000
COL,Alvarez,Carlos,M,70000,70000
COL,Badji,Dominique,F,50000,50000
COL,Berner,John,GK,60000,60000
COL,Burch,Marc,D,110000,110000
COL,Burling,Bobby,D,132500,140000
COL,Calvert,Caleb,F,65000,72500
COL,Cronin,Sam,M,200000,202500
COL,Doyle,Kevin,F,1125000,1170000
COL,Eloundou,Charles,F,60000,65000
COL,Greenspan,Joseph,D,50000,50000
COL,Hairston,Marlon,M,80000,103000
COL,Harrington,Michael,M-D,130000,130000
COL,Irwin,Clint,GK,85000,97000
COL,LaBrocca,Nick,M,160000,180000
COL,MacMath,Zac,GK,130000,130000
COL,Moor,Drew,D,258500,270500
COL,Newnam,Ben,D,60000,60000
COL,O'Neill,Shane,M,64998,76498
COL,Pittinari,Lucas,M,190000,210000
COL,Powers,Dillon,M,245000,275000
COL,Ramirez,Juan Edgardo,M,75000,75000
COL,Riley,James,D,77500,83750
COL,Sanchez,Vicente,F,210000,286666
COL,Sarvas,Marcelo,M,360000,425000
COL,Serna,Dillon,M,60000,73000
COL,Sjoberg,Axel,D,60000,75000
COL,Solignac,Luis,F,65004,65004
COL,Torres,Gabriel,F,262000,274500
COL,Watts,Jared,M,60000,60000
DAL,Acosta,Kellyn,M,60000,84000
DAL,Akindele,Tesho,F,70000,87500
DAL,Barrios,Michael,M,60000,60000
DAL,Castillo,Fabian,F,145000,160000
DAL,Cirigliano,Ezequiel,M,124999,167999
DAL,Craft,Coy,F,60000,77083
DAL,Diaz,Mauro,M,364000,442400
DAL,Earle,Otis,D,60000,77125
DAL,Escobar,Rolando,M,180000,185000
DAL,Garcia,Danny,M,70000,86000
DAL,Gonzalez,Jesse,GK,60000,69375
DAL,Harris,Atiba,M-F,130000,130000
DAL,Hedges,Matt,D,135000,135000
DAL,Hernandez,Moises,D,60000,61625
DAL,Hollingshead,Ryan,M,60000,60000
DAL,Keel,Stephen,D,60000,60000
DAL,Kennedy,Dan,GK,233000,233000
DAL,Loyd,Zach,M,175000,196666
DAL,Pereira,Michel,M/D,140000,161500
DAL,Perez,Blas,F,350000,374250
DAL,Seitz,Chris,GK,130000,130000
DAL,Soumare,Bakary,D,225000,225000
DAL,Texeira,David,F,338000,338000
DAL,Ulloa,Victor,M,60000,60000
DAL,Watson,Jevaughn,M-D,160000,180000
DAL,Zendejas,Alejandro,F,60000,76666
DAL,Zimmerman,Walker,D,100000,180100
DC,Aguilar,Miguel,M,60000,60000
DC,Arnaud,Davy,M,212500,212500
DC,Arrieta,Jairo,F,150000,165000
DC,Birnbaum,Steven,D,66000,96000
DC,Boswell,Bobby,D,200000,200000
DC,Coria,Facundo,M,60000,70375
DC,DeLeon,Nick,M,116259,151259
DC,Doyle,Conor,F,60000,61250
DC,Dykstra,Andrew,GK,60000,60000
DC,Espindola,Fabian,F,175000,175000
DC,Farfan,Michael,M,120000,120000
DC,Franklin,Sean,D,202500,234166
DC,Halsti,Markus,M,275000,336833
DC,Hamid,Bill,GK,360000,405500
DC,Jeffrey,Jared,M,68250,74450
DC,Kemp,Taylor,D,60000,60000
DC,Kitchen,Perry,D,172000,257450
DC,Korb,Chris,D,99000,106479
DC,Martin,Collin,M,70000,84166
DC,Mishu,Luke,D,50000,50000
DC,Opare,Kofi,D,60000,60000
DC,Pontius,Chris,M-F,365000,396000
DC,Robinson,Jalen,D,70000,82000
DC,Rolfe,Chris,F,210000,225000
DC,Saborio,Alvaro,F,400000,493333
DC,Seaton,Michael,F,60000,63000
DC,Worra,Travis,GK,50000,50000
HOU,Alex,,M,142000,142000
HOU,Barnes,Giles,M,264500,275658
HOU,Beasley,DaMarcus,D,750000,813333
HOU,Boniek Garcia,Oscar,F,245000,303750
HOU,Bruin,Will,F,140000,185000
HOU,Clark,Ricardo,M,304000,337750
HOU,Cochran,AJ,D,60375,76375
HOU,Davis,Brad,M,400000,445500
HOU,Deric,Tyler,GK,105000,112666
HOU,Garrido,Luis,M,150000,150000
HOU,Hoffman,Chandler,F,60000,60000
